run_name,pretrain_steps,seed,model_hidden_dim,model_heads,model_depth,threshold,episodes_to_target,pretrain_policy_loss,pretrain_value_loss,pretrain_accuracy
pretrain_80_half-seed1,80,1,96,3,2,0.99,2500,0.13474195336292352,0.04210105530997128,0.9501162166994457
pretrain_80_half-seed2,80,2,96,3,2,0.8,500,0.13474195336292352,0.04210105530997128,0.9501162166994457
pretrain_80_half-seed2,80,2,96,3,2,0.9,600,0.13474195336292352,0.04210105530997128,0.9501162166994457
pretrain_80_half-seed2,80,2,96,3,2,0.97,1100,0.13474195336292352,0.04210105530997128,0.9501162166994457
pretrain_80_half-seed2,80,2,96,3,2,0.99,2500,0.13474195336292352,0.04210105530997128,0.9501162166994457
pretrain_80_half-seed3,80,3,96,3,2,0.8,400,0.13474195336292352,0.04210105530997128,0.9501162166994457
pretrain_80_half-seed3,80,3,96,3,2,0.9,600,0.13474195336292352,0.04210105530997128,0.9501162166994457
pretrain_80_half-seed3,80,3,96,3,2,0.97,800,0.13474195336292352,0.04210105530997128,0.9501162166994457
pretrain_80_half-seed3,80,3,96,3,2,0.99,2300,0.13474195336292352,0.04210105530997128,0.9501162166994457
pretrain_80_half-seed4,80,4,96,3,2,0.8,400,0.13474195336292352,0.04210105530997128,0.9501162166994457
pretrain_80_half-seed4,80,4,96,3,2,0.9,500,0.13474195336292352,0.04210105530997128,0.9501162166994457
pretrain_80_half-seed4,80,4,96,3,2,0.97,800,0.13474195336292352,0.04210105530997128,0.9501162166994457
pretrain_80_half-seed4,80,4,96,3,2,0.99,2900,0.13474195336292352,0.04210105530997128,0.9501162166994457
pretrain_100_half-seed0,100,0,96,3,2,0.8,300,0.10643645391908134,0.04139947737952056,0.9752816020025031
pretrain_100_half-seed0,100,0,96,3,2,0.9,400,0.10643645391908134,0.04139947737952056,0.9752816020025031
pretrain_100_half-seed0,100,0,96,3,2,0.97,1200,0.10643645391908134,0.04139947737952056,0.9752816020025031
pretrain_100_half-seed0,100,0,96,3,2,0.99,1500,0.10643645391908134,0.04139947737952056,0.9752816020025031
pretrain_100_half-seed1,100,1,96,3,2,0.8,300,0.10643645391908134,0.04139947737952056,0.9752816020025031
pretrain_100_half-seed1,100,1,96,3,2,0.9,400,0.10643645391908134,0.04139947737952056,0.9752816020025031
pretrain_100_half-seed1,100,1,96,3,2,0.97,800,0.10643645391908134,0.04139947737952056,0.9752816020025031
pretrain_100_half-seed1,100,1,96,3,2,0.99,1300,0.10643645391908134,0.04139947737952056,0.9752816020025031
pretrain_100_half-seed2,100,2,96,3,2,0.8,300,0.10643645391908134,0.04139947737952056,0.9752816020025031
pretrain_100_half-seed2,100,2,96,3,2,0.9,500,0.10643645391908134,0.04139947737952056,0.9752816020025031
pretrain_100_half-seed2,100,2,96,3,2,0.97,1300,0.10643645391908134,0.04139947737952056,0.9752816020025031
pretrain_100_half-seed2,100,2,96,3,2,0.99,2200,0.10643645391908134,0.04139947737952056,0.9752816020025031
pretrain_100_half-seed3,100,3,96,3,2,0.8,300,0.10643645391908134,0.04139947737952056,0.9752816020025031
pretrain_100_half-seed3,100,3,96,3,2,0.9,400,0.10643645391908134,0.04139947737952056,0.9752816020025031
pretrain_100_half-seed3,100,3,96,3,2,0.97,1000,0.10643645391908134,0.04139947737952056,0.9752816020025031
pretrain_100_half-seed3,100,3,96,3,2,0.99,1800,0.10643645391908134,0.04139947737952056,0.9752816020025031
pretrain_100_half-seed4,100,4,96,3,2,0.8,300,0.10643645391908134,0.04139947737952056,0.9752816020025031
pretrain_100_half-seed4,100,4,96,3,2,0.9,500,0.10643645391908134,0.04139947737952056,0.9752816020025031
pretrain_100_half-seed4,100,4,96,3,2,0.97,1100,0.10643645391908134,0.04139947737952056,0.9752816020025031
pretrain_100_half-seed4,100,4,96,3,2,0.99,2000,0.10643645391908134,0.04139947737952056,0.9752816020025031
