run_name,pretrain_steps,seed,model_hidden_dim,model_heads,model_depth,threshold,episodes_to_target,pretrain_policy_loss,pretrain_value_loss,pretrain_accuracy
pretrain_40_1x-seed4,40,4,128,4,2,0.8,400,0.1921946838292968,0.04886060284235401,0.9357232254603969
pretrain_40_1x-seed4,40,4,128,4,2,0.9,600,0.1921946838292968,0.04886060284235401,0.9357232254603969
pretrain_40_1x-seed4,40,4,128,4,2,0.97,900,0.1921946838292968,0.04886060284235401,0.9357232254603969
pretrain_40_1x-seed4,40,4,128,4,2,0.99,2000,0.1921946838292968,0.04886060284235401,0.9357232254603969
pretrain_60_1x-seed0,60,0,128,4,2,0.8,300,0.1087932008989051,0.03139669453154958,0.964017521902378
pretrain_60_1x-seed0,60,0,128,4,2,0.9,400,0.1087932008989051,0.03139669453154958,0.964017521902378
pretrain_60_1x-seed0,60,0,128,4,2,0.97,700,0.1087932008989051,0.03139669453154958,0.964017521902378
pretrain_60_1x-seed0,60,0,128,4,2,0.99,900,0.1087932008989051,0.03139669453154958,0.964017521902378
pretrain_60_1x-seed1,60,1,128,4,2,0.8,300,0.1087932008989051,0.03139669453154958,0.964017521902378
pretrain_60_1x-seed1,60,1,128,4,2,0.9,400,0.1087932008989051,0.03139669453154958,0.964017521902378
pretrain_60_1x-seed1,60,1,128,4,2,0.97,600,0.1087932008989051,0.03139669453154958,0.964017521902378
pretrain_60_1x-seed1,60,1,128,4,2,0.99,1800,0.1087932008989051,0.03139669453154958,0.964017521902378
pretrain_60_1x-seed2,60,2,128,4,2,0.8,300,0.1087932008989051,0.03139669453154958,0.964017521902378
pretrain_60_1x-seed2,60,2,128,4,2,0.9,400,0.1087932008989051,0.03139669453154958,0.964017521902378
pretrain_60_1x-seed2,60,2,128,4,2,0.97,600,0.1087932008989051,0.03139669453154958,0.964017521902378
pretrain_60_1x-seed2,60,2,128,4,2,0.99,1300,0.1087932008989051,0.03139669453154958,0.964017521902378
pretrain_60_1x-seed3,60,3,128,4,2,0.8,300,0.1087932008989051,0.03139669453154958,0.964017521902378
pretrain_60_1x-seed3,60,3,128,4,2,0.9,400,0.1087932008989051,0.03139669453154958,0.964017521902378
pretrain_60_1x-seed3,60,3,128,4,2,0.97,500,0.1087932008989051,0.03139669453154958,0.964017521902378
pretrain_60_1x-seed3,60,3,128,4,2,0.99,1700,0.1087932008989051,0.03139669453154958,0.964017521902378
pretrain_60_1x-seed4,60,4,128,4,2,0.8,300,0.1087932008989051,0.03139669453154958,0.964017521902378
pretrain_60_1x-seed4,60,4,128,4,2,0.9,500,0.1087932008989051,0.03139669453154958,0.964017521902378
pretrain_60_1x-seed4,60,4,128,4,2,0.97,700,0.1087932008989051,0.03139669453154958,0.964017521902378
pretrain_60_1x-seed4,60,4,128,4,2,0.99,1400,0.1087932008989051,0.03139669453154958,0.964017521902378
pretrain_80_1x-seed0,80,0,128,4,2,0.8,100,0.06446205596331582,0.02229329347796971,0.9770844508015972
pretrain_80_1x-seed0,80,0,128,4,2,0.9,200,0.06446205596331582,0.02229329347796971,0.9770844508015972
pretrain_80_1x-seed0,80,0,128,4,2,0.97,600,0.06446205596331582,0.02229329347796971,0.9770844508015972
pretrain_80_1x-seed0,80,0,128,4,2,0.99,800,0.06446205596331582,0.02229329347796971,0.9770844508015972
pretrain_80_1x-seed1,80,1,128,4,2,0.8,100,0.06446205596331582,0.02229329347796971,0.9770844508015972
pretrain_80_1x-seed1,80,1,128,4,2,0.9,100,0.06446205596331582,0.02229329347796971,0.9770844508015972
pretrain_80_1x-seed1,80,1,128,4,2,0.97,300,0.06446205596331582,0.02229329347796971,0.9770844508015972
pretrain_80_1x-seed1,80,1,128,4,2,0.99,900,0.06446205596331582,0.02229329347796971,0.9770844508015972
pretrain_80_1x-seed2,80,2,128,4,2,0.8,300,0.06446205596331582,0.02229329347796971,0.9770844508015972
pretrain_80_1x-seed2,80,2,128,4,2,0.9,400,0.06446205596331582,0.02229329347796971,0.9770844508015972
pretrain_80_1x-seed2,80,2,128,4,2,0.97,500,0.06446205596331582,0.02229329347796971,0.9770844508015972
pretrain_80_1x-seed2,80,2,128,4,2,0.99,1200,0.06446205596331582,0.02229329347796971,0.9770844508015972
pretrain_80_1x-seed3,80,3,128,4,2,0.8,200,0.06446205596331582,0.02229329347796971,0.9770844508015972
pretrain_80_1x-seed3,80,3,128,4,2,0.9,200,0.06446205596331582,0.02229329347796971,0.9770844508015972
pretrain_80_1x-seed3,80,3,128,4,2,0.97,400,0.06446205596331582,0.02229329347796971,0.9770844508015972
pretrain_80_1x-seed3,80,3,128,4,2,0.99,800,0.06446205596331582,0.02229329347796971,0.9770844508015972
pretrain_80_1x-seed4,80,4,128,4,2,0.8,300,0.06446205596331582,0.02229329347796971,0.9770844508015972
pretrain_80_1x-seed4,80,4,128,4,2,0.9,300,0.06446205596331582,0.02229329347796971,0.9770844508015972
pretrain_80_1x-seed4,80,4,128,4,2,0.97,400,0.06446205596331582,0.02229329347796971,0.9770844508015972
pretrain_80_1x-seed4,80,4,128,4,2,0.99,800,0.06446205596331582,0.02229329347796971,0.9770844508015972
pretrain_100_1x-seed0,100,0,128,4,2,0.8,100,0.03856368307131921,0.015536280228006547,0.9860986947970678
pretrain_100_1x-seed0,100,0,128,4,2,0.9,300,0.03856368307131921,0.015536280228006547,0.9860986947970678
pretrain_100_1x-seed0,100,0,128,4,2,0.97,400,0.03856368307131921,0.015536280228006547,0.9860986947970678
pretrain_100_1x-seed0,100,0,128,4,2,0.99,800,0.03856368307131921,0.015536280228006547,0.9860986947970678
pretrain_100_1x-seed1,100,1,128,4,2,0.8,100,0.03856368307131921,0.015536280228006547,0.9860986947970678
pretrain_100_1x-seed1,100,1,128,4,2,0.9,100,0.03856368307131921,0.015536280228006547,0.9860986947970678
pretrain_100_1x-seed1,100,1,128,4,2,0.97,500,0.03856368307131921,0.015536280228006547,0.9860986947970678
pretrain_100_1x-seed1,100,1,128,4,2,0.99,600,0.03856368307131921,0.015536280228006547,0.9860986947970678
pretrain_100_1x-seed2,100,2,128,4,2,0.8,100,0.03856368307131921,0.015536280228006547,0.9860986947970678
pretrain_100_1x-seed2,100,2,128,4,2,0.9,100,0.03856368307131921,0.015536280228006547,0.9860986947970678
pretrain_100_1x-seed2,100,2,128,4,2,0.97,200,0.03856368307131921,0.015536280228006547,0.9860986947970678
pretrain_100_1x-seed2,100,2,128,4,2,0.99,300,0.03856368307131921,0.015536280228006547,0.9860986947970678
pretrain_100_1x-seed3,100,3,128,4,2,0.8,100,0.03856368307131921,0.015536280228006547,0.9860986947970678
pretrain_100_1x-seed3,100,3,128,4,2,0.9,400,0.03856368307131921,0.015536280228006547,0.9860986947970678
pretrain_100_1x-seed3,100,3,128,4,2,0.97,500,0.03856368307131921,0.015536280228006547,0.9860986947970678
pretrain_100_1x-seed3,100,3,128,4,2,0.99,500,0.03856368307131921,0.015536280228006547,0.9860986947970678
pretrain_100_1x-seed4,100,4,128,4,2,0.8,300,0.03856368307131921,0.015536280228006547,0.9860986947970678
pretrain_100_1x-seed4,100,4,128,4,2,0.9,300,0.03856368307131921,0.015536280228006547,0.9860986947970678
pretrain_100_1x-seed4,100,4,128,4,2,0.97,500,0.03856368307131921,0.015536280228006547,0.9860986947970678
pretrain_100_1x-seed4,100,4,128,4,2,0.99,600,0.03856368307131921,0.015536280228006547,0.9860986947970678
